ID	Nazwisko	Imie	Pesel	Zarobki	Telefon	Data zatrudnienia	Stanowisko	IdStanowiska	Plec	IdPlci	NIP	Firma	Telefonkomorkowy	Adresemail	Urodziny	Konto
PR040	Ptasznik	Pawe³	59092620812	1220	0248547179	2003-05-09	pracownik	PR	mê¿czyzna	M				pp@wp.pl	1959-09-26	24015907740717028205800844
HA006	Jasiñski	Rados³aw	46030227473	3490	0225490243	2004-05-26	handlowiec	HA	mê¿czyzna	M	860-885-46-08	Merituum		rj@aster.pl	1946-03-02	24092000840521064602690137
PR037	Dobrzyñska	Ewa	56012865166	3950	601249520	2005-10-09	pracownik	PR	kobieta	K	166-279-27-16	INFOS	601726047	ed@gmail.pl	1956-01-28	24050406050291087103407263
PR062	Gawrych	Agnieszka	87052540148	3150	600848098	2001-05-15	pracownik	PR	kobieta	K	953-584-13-08	Dormington Sp. z o.o.		ag@wp.pl	1987-05-25	24031907670011005105218342
PR075	Szkop	Mariusz	52021129972	2530	0145496360	2004-06-29	pracownik	PR	mê¿czyzna	M	166-279-27-16	INFOS		ms@wp.pl	1952-02-11	24038509790998072505830793
PR103	Fronczykowsk	Rafa³	38040836657	2420	602350970	2003-10-03	pracownik	PR	mê¿czyzna	M	110-650-54-45	Amco s.c.		rf@gmail.pl	1938-04-08	24043402230878004804450558
PR041	Zakrzewski	£ukasz	62032234839	2610	0229306183	2005-02-18	pracownik	PR	mê¿czyzna	M	861-962-24-50	Reda Polska Sp. z o.o.			1962-03-22	24063406190025091401394798
PR112	Nowacki	Andrzej	52070739553	3390	0178929766	2003-05-24	pracownik	PR	mê¿czyzna	M	861-962-24-50	Reda Polska Sp. z o.o.		an@gmail.pl	1952-07-07	24017501800867051405813557
PR052	Zasoñska	Krystyna	64090342525	1310	0215121185	2002-07-29	pracownik	PR	kobieta	K	426-228-93-45	Delta		kz@adelphia.pl	1964-09-03	24017903200471035606964716
PR192	Oska	Edward	60121827359	2320	0227865342	2002-06-29	pracownik	PR	mê¿czyzna	M				eo@adelphia.pl	1960-12-18	24034603370158034004090411
PR208	Wojtysiak	W³adys³awa	51041426166	2880	0224755323	2004-07-31	pracownik	PR	kobieta	K			601589608	ww@wp.pl	1951-04-14	24067006650028002405601476
PR187	Majewski	Edward	54022338537	2540	0217092668	2003-10-29	pracownik	PR	mê¿czyzna	M				em@gmail.pl	1954-02-23	24030709360376013206263685
KS001	Bia³y	Rados³aw	45050829915	2810	601804995	2000-11-03	ksiêgowy	KS	mê¿czyzna	M	840-155-42-56	GCI		rb@adelphia.pl	1945-05-08	24005703790800094004470108
PR001	Wierciñski	Micha³	76072727613	3340	0139579999	2003-10-21	pracownik	PR	mê¿czyzna	M	861-962-24-50	Reda Polska Sp. z o.o.		mw@aster.pl	1976-07-27	24045809250594062706258045
PR077	Grochowska	Kamila	89030627843	2210	0246833129	2003-02-03	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co		kg@adelphia.pl	1989-03-06	24072801260631059108925321
PR203	Oluwka	Edward	73102025532	1860	0235190746	2003-01-20	pracownik	PR	mê¿czyzna	M				eo@aster.pl	1973-10-20	24076905300378062708118275
PR213	Wiêcek	Barbara	47122526722	2280	0175864010	2004-08-13	pracownik	PR	kobieta	K				bw@gmail.pl	1947-12-25	24072801260631059108923265
PR063	Ignaczak	Agnieszka	42050126363	2430	0205488589	2004-12-25	pracownik	PR	kobieta	K			600879672	ai@wp.pl	1942-05-01	24012808490952066508332275
PR048	Molska	Agnieszka	64090829248	2450	0188879563	2003-05-08	pracownik	PR	kobieta	K	166-279-27-16	INFOS		am@adelphia.pl	1964-09-08	24044004970605044904292814
PR031	Or³owska	Agnieszka	75040160106	2520	0238010827	2004-06-28	pracownik	PR	kobieta	K	426-228-93-45	Delta	601686517		1975-04-01	24044500700706055708692046
PR061	Brajczewski	Patryk	39082436832	1960	602133243	2000-11-26	pracownik	PR	mê¿czyzna	M	708-429-39-37	Hossa Media	601549529	pb@aster.pl	1939-08-24	24013801500545076103820234
PR085	Ciecierska	Iwona	85092061164	3050	601411889	2001-12-02	pracownik	PR	kobieta	K	166-279-27-16	INFOS		ic@aster.pl	1985-09-20	24091208360153044203114637
PR173	Skowroñska	Eleonora	65112542307	1470	0137049400	2004-04-13	pracownik	PR	kobieta	K			602284372	es@wp.pl	1965-11-25	24013801500545076103823782
ST015	Wójcik	£ukasz	89100239833	2350	0194645866	2003-06-18	sta¿ysta	ST	mê¿czyzna	M	860-885-46-08	Merituum		³w@wp.pl	1989-10-02	24015907740717028205805941
PR032	Le¿yñska	Ma³gorzata	82012445383	2650	0227079184	2003-04-18	pracownik	PR	kobieta	K	110-650-54-45	Amco s.c.	600777773	ml@adelphia.pl	1982-01-24	24073208810853009705655422
PR148	KonPRka	Anna	41050261483	2480	0209364450	2004-01-04	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co		ak@aster.pl	1941-05-02	24017501800867051405810518
KI009	Kuciak	Dariusz	88060920959	2490	0146044473	2003-07-12	kierownik	KI	mê¿czyzna	M	247-052-89-81	Mar - Co	602952255	dk@gmail.pl	1988-06-09	24073208810853009705653828
PR185	Jankowski	Jan	82012447019	3110	0176246567	2002-07-11	pracownik	PR	mê¿czyzna	M					1982-01-24	24065208310440053500885395
PR182	Rembisz	Joanna	55062546328	3990	0168161510	2003-03-31	pracownik	PR	kobieta	K				jr@wp.pl	1955-06-25	24031309020066094101931416
KS008	Kostecka	Ma³gorzata	52110145564	4260	0199671350	2004-11-16	ksiêgowy	KS	kobieta	K	765-135-08-44	CLM		mk@aster.pl	1952-11-01	24067006650028002405604843
KI008	Gadomska	Joanna	66010266609	1930	600943982	1999-07-04	kierownik	KI	kobieta	K	247-052-89-81	Mar - Co	600241198	jg@aster.pl	1966-01-02	24099500120232010208880633
PR045	Jastrzêbski	Sylwester	85062132139	3060	0215908551	2003-01-09	pracownik	PR	mê¿czyzna	M	791-326-35-68	Media-Ster Sp. z o.o.	602564323	sj@adelphia.pl	1985-06-21	24037403320376057207323513
PR159	KuŸmiñska	Agnieszka	83041669968	2450	0164951714	2004-03-12	pracownik	PR	kobieta	K	166-279-27-16	INFOS		ak@adelphia.pl	1983-04-16	24034603370158034004091895
KS007	Ko¿uchowska	Aleksandra	54070646284	3870	0247355678	2005-02-27	ksiêgowy	KS	kobieta	K	765-160-08-68	Light		ak@adelphia.pl	1954-07-06	24000008620854097802162379
PR164	Pe³ka	W³adys³awa	83072322366	2370	0156236718	2002-08-31	pracownik	PR	kobieta	K	110-650-54-45	Amco s.c.	602639560	wp@aster.pl	1983-07-23	24084309710581036500441449
PR106	Rybak	Artur	82051835338	2680	0145855457	2003-03-07	pracownik	PR	mê¿czyzna	M	247-052-89-81	Mar - Co	600623463	ar@wp.pl	1982-05-18	24050301430920019608903342
PR113	Kopatys	Monika	65040345841	2820	0169044402	2002-10-07	pracownik	PR	kobieta	K	166-279-27-16	INFOS		mk@aster.pl	1965-04-03	24065208310440053500887607
PR130	Kasperczak	Tomasz	59100723412	2490	0205177526	2004-01-06	pracownik	PR	mê¿czyzna	M	110-650-54-45	Amco s.c.		tk@gmail.pl	1959-10-07	24001200560394017602491391
PR054	Jackowska	Patrycja	34041427627	2750	0255303539	2003-06-29	pracownik	PR	kobieta	K	765-160-08-68	Light	602145861	pj@gmail.pl	1934-04-14	24045202870310092601736316
PR042	GaŸdzicka	Agnieszka	75042866161	1820	600527318	2005-11-25	pracownik	PR	kobieta	K	166-279-27-16	INFOS		ag@wp.pl	1975-04-28	24017501800867051405813294
PR168	Piechota	W³adys³awa	40031727642	2920	0236236018	2003-07-08	pracownik	PR	kobieta	K					1940-03-17	24091301340352093009384063
HA011	Kobus	Tomasz	53061346055	3490	0217110896	2003-11-19	handlowiec	HA	mê¿czyzna	M	860-885-46-08	Merituum		tk@adelphia.pl	1953-06-13	24092800470918020101250335
AD003	S³upski	£ukasz	37121135896	2570	0218581122	2003-08-23	administracja	AD	mê¿czyzna	M	765-135-08-44	CLM	600584879	³s@adelphia.pl	1937-12-11	24088707990880059605162481
PR174	Wronoski	Edward	35051327239	3300	0219556185	2004-11-01	pracownik	PR	mê¿czyzna	M				ew@gmail.pl	1935-05-13	24016905220937058005528623
PR101	Wikie³	Karolina	37120926921	2550	0149726000	2004-05-27	pracownik	PR	kobieta	K	708-429-39-37	Hossa Media	600131565	kw@wp.pl	1937-12-09	24065902670184024307790981
PR144	Kotapska	Anna	79011565585	1850	0126506967	2002-06-22	pracownik	PR	kobieta	K	110-650-54-45	Amco s.c.		ak@aster.pl	1979-01-15	24022706800876003501660579
KI017	Pi¹tkowska	Teresa	72060668308	2390	0158391074	2004-07-07	kierownik	KI	kobieta	K	166-279-27-16	INFOS		tp@wp.pl	1972-06-06	24000008620854097802164801
PR043	Bi³yk	Bartosz	86051346519	2380	601813266	2001-10-24	pracownik	PR	mê¿czyzna	M	840-155-42-56	GCI		bb@adelphia.pl	1986-05-13	24075403080466067707672950
PR051	Hetmañska	Barbara	74122561664	2120	0229403195	2003-01-31	pracownik	PR	kobieta	K	110-650-54-45	Amco s.c.			1974-12-25	24046602730016055103785881
PR226	Pokorski	Ryszard	56072522838	3090	0226507372	2003-12-04	pracownik	PR	mê¿czyzna	M				rp@wp.pl	1956-07-25	24031309020066094101930531
PR083	Œwiderska	Agnieszka	35012740507	3670	0149334208	2002-08-14	pracownik	PR	kobieta	K	860-885-46-08	Merituum		aœ@wp.pl	1935-01-27	24075403080466067707673722
